color,gross,actor_1_name,,movie_title,budget,imdb_score,movie_facebook_likes,movie_imdb_link
Color,760505847,CCH Pounder,,Avatar ,237000000,7.9,33000,http://www.imdb.com/title/tt0499549/?ref_=fn_tt_tt_1
Color,309404152,Johnny Depp,,Pirates of the Caribbean: At World's End ,300000000,7.1,0,http://www.imdb.com/title/tt0449088/?ref_=fn_tt_tt_1
Color,200074175,Christoph Waltz,,Spectre ,245000000,6.8,85000,http://www.imdb.com/title/tt2379713/?ref_=fn_tt_tt_1
Color,448130642,Tom Hardy,,The Dark Knight Rises ,250000000,8.5,164000,http://www.imdb.com/title/tt1345836/?ref_=fn_tt_tt_1
,,Doug Walker,,Star Wars: Episode VII - The Force Awakens             ,,7.1,0,http://www.imdb.com/title/tt5289954/?ref_=fn_tt_tt_1
Color,73058679,Daryl Sabara,,John Carter ,263700000,6.6,24000,http://www.imdb.com/title/tt0401729/?ref_=fn_tt_tt_1
Color,336530303,J.K. Simmons,,Spider-Man 3 ,258000000,6.2,0,http://www.imdb.com/title/tt0413300/?ref_=fn_tt_tt_1
Color,200807262,Brad Garrett,,Tangled ,260000000,7.8,29000,http://www.imdb.com/title/tt0398286/?ref_=fn_tt_tt_1
Color,458991599,Chris Hemsworth,,Avengers: Age of Ultron ,250000000,7.5,118000,http://www.imdb.com/title/tt2395427/?ref_=fn_tt_tt_1
Color,301956980,Alan Rickman,,Harry Potter and the Half-Blood Prince ,250000000,7.5,10000,http://www.imdb.com/title/tt0417741/?ref_=fn_tt_tt_1
Color,330249062,Henry Cavill,,Batman v Superman: Dawn of Justice ,250000000,6.9,197000,http://www.imdb.com/title/tt2975590/?ref_=fn_tt_tt_1
Color,200069408,Kevin Spacey,,Superman Returns ,209000000,6.1,0,http://www.imdb.com/title/tt0348150/?ref_=fn_tt_tt_1
Color,168368427,Giancarlo Giannini,,Quantum of Solace ,200000000,6.7,0,http://www.imdb.com/title/tt0830515/?ref_=fn_tt_tt_1
Color,423032628,Johnny Depp,,Pirates of the Caribbean: Dead Man's Chest ,225000000,7.3,5000,http://www.imdb.com/title/tt0383574/?ref_=fn_tt_tt_1
Color,89289910,Johnny Depp,,The Lone Ranger ,215000000,6.5,48000,http://www.imdb.com/title/tt1210819/?ref_=fn_tt_tt_1
Color,291021565,Henry Cavill,,Man of Steel ,225000000,7.2,118000,http://www.imdb.com/title/tt0770828/?ref_=fn_tt_tt_1
Color,141614023,Peter Dinklage,,The Chronicles of Narnia: Prince Caspian ,225000000,6.6,0,http://www.imdb.com/title/tt0499448/?ref_=fn_tt_tt_1
Color,623279547,Chris Hemsworth,,The Avengers ,220000000,8.1,123000,http://www.imdb.com/title/tt0848228/?ref_=fn_tt_tt_1
Color,241063875,Johnny Depp,,Pirates of the Caribbean: On Stranger Tides ,250000000,6.7,58000,http://www.imdb.com/title/tt1298650/?ref_=fn_tt_tt_1
Color,179020854,Will Smith,,Men in Black 3 ,225000000,6.8,40000,http://www.imdb.com/title/tt1409024/?ref_=fn_tt_tt_1
Color,255108370,Aidan Turner,,The Hobbit: The Battle of the Five Armies ,250000000,7.5,65000,http://www.imdb.com/title/tt2310332/?ref_=fn_tt_tt_1
Color,262030663,Emma Stone,,The Amazing Spider-Man ,230000000,7,56000,http://www.imdb.com/title/tt0948470/?ref_=fn_tt_tt_1
Color,105219735,Mark Addy,,Robin Hood ,200000000,6.7,17000,http://www.imdb.com/title/tt0955308/?ref_=fn_tt_tt_1
Color,258355354,Aidan Turner,,The Hobbit: The Desolation of Smaug ,225000000,7.9,83000,http://www.imdb.com/title/tt1170358/?ref_=fn_tt_tt_1
Color,70083519,Christopher Lee,,The Golden Compass ,180000000,6.1,0,http://www.imdb.com/title/tt0385752/?ref_=fn_tt_tt_1
Color,218051260,Naomi Watts,,King Kong ,207000000,7.2,0,http://www.imdb.com/title/tt0360717/?ref_=fn_tt_tt_1
Color,658672302,Leonardo DiCaprio,,Titanic ,200000000,7.7,26000,http://www.imdb.com/title/tt0120338/?ref_=fn_tt_tt_1
Color,407197282,Robert Downey Jr.,,Captain America: Civil War ,250000000,8.2,72000,http://www.imdb.com/title/tt3498820/?ref_=fn_tt_tt_1
Color,65173160,Liam Neeson,,Battleship ,209000000,5.9,44000,http://www.imdb.com/title/tt1440129/?ref_=fn_tt_tt_1
Color,652177271,Bryce Dallas Howard,,Jurassic World ,150000000,7,150000,http://www.imdb.com/title/tt0369610/?ref_=fn_tt_tt_1
Color,304360277,Albert Finney,,Skyfall ,200000000,7.8,80000,http://www.imdb.com/title/tt1074638/?ref_=fn_tt_tt_1
Color,373377893,J.K. Simmons,,Spider-Man 2 ,200000000,7.3,0,http://www.imdb.com/title/tt0316654/?ref_=fn_tt_tt_1
Color,408992272,Robert Downey Jr.,,Iron Man 3 ,200000000,7.2,95000,http://www.imdb.com/title/tt1300854/?ref_=fn_tt_tt_1
Color,334185206,Johnny Depp,,Alice in Wonderland ,200000000,6.5,24000,http://www.imdb.com/title/tt1014759/?ref_=fn_tt_tt_1
Color,234360014,Hugh Jackman,,X-Men: The Last Stand ,210000000,6.8,0,http://www.imdb.com/title/tt0376994/?ref_=fn_tt_tt_1
Color,268488329,Steve Buscemi,,Monsters University ,200000000,7.3,44000,http://www.imdb.com/title/tt1453405/?ref_=fn_tt_tt_1
Color,402076689,Glenn Morshower,,Transformers: Revenge of the Fallen ,200000000,6,0,http://www.imdb.com/title/tt1055369/?ref_=fn_tt_tt_1
Color,245428137,Bingbing Li,,Transformers: Age of Extinction ,210000000,5.7,56000,http://www.imdb.com/title/tt2109248/?ref_=fn_tt_tt_1
Color,234903076,Tim Holmes,,Oz the Great and Powerful ,215000000,6.4,60000,http://www.imdb.com/title/tt1623205/?ref_=fn_tt_tt_1
Color,202853933,Emma Stone,,The Amazing Spider-Man 2 ,200000000,6.7,41000,http://www.imdb.com/title/tt1872181/?ref_=fn_tt_tt_1
Color,172051787,Jeff Bridges,,TRON: Legacy ,170000000,6.8,30000,http://www.imdb.com/title/tt1104001/?ref_=fn_tt_tt_1
Color,191450875,Joe Mantegna,,Cars 2 ,200000000,6.3,10000,http://www.imdb.com/title/tt1216475/?ref_=fn_tt_tt_1
Color,116593191,Ryan Reynolds,,Green Lantern ,200000000,5.6,24000,http://www.imdb.com/title/tt1133985/?ref_=fn_tt_tt_1
Color,414984497,Tom Hanks,,Toy Story 3 ,200000000,8.3,30000,http://www.imdb.com/title/tt0435761/?ref_=fn_tt_tt_1
Color,125320003,Christian Bale,,Terminator Salvation ,200000000,6.6,0,http://www.imdb.com/title/tt0438488/?ref_=fn_tt_tt_1
Color,350034110,Jason Statham,,Furious 7 ,190000000,7.2,94000,http://www.imdb.com/title/tt2820852/?ref_=fn_tt_tt_1
Color,202351611,Peter Capaldi,,World War Z ,190000000,7,129000,http://www.imdb.com/title/tt0816711/?ref_=fn_tt_tt_1
Color,233914986,Jennifer Lawrence,,X-Men: Days of Future Past ,200000000,8,82000,http://www.imdb.com/title/tt1877832/?ref_=fn_tt_tt_1
Color,228756232,Benedict Cumberbatch,,Star Trek Into Darkness ,190000000,7.8,92000,http://www.imdb.com/title/tt1408101/?ref_=fn_tt_tt_1
Color,65171860,Eddie Marsan,,Jack the Giant Slayer ,195000000,6.3,22000,http://www.imdb.com/title/tt1351685/?ref_=fn_tt_tt_1
